idx,subject_type,subject,relation,object_type,object,input,wiki_page
16,COMPANY,Divina Ristorante,OPERATE_IN,GEOPOLITICAL_ENTITY,Caldwell,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
16,COMPANY,Divina Ristorante,OPERATE_IN,GEOPOLITICAL_ENTITY,N.J.,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
16,COMPANY,Domaine Huet,PRODUCE,PRODUCT,Chablis,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
16,COMPANY,Domaine Huet,PRODUCE,PRODUCT,Vouvray,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
16,PRODUCT,Amarone,RELATE_TO,GEOPOLITICAL_ENTITY,Italy,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
16,PRODUCT,Amarone,RELATE_TO,GEOPOLITICAL_ENTITY,Veneto,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
16,PERSON,Mario Carlino,OPERATE_IN,GEOPOLITICAL_ENTITY,Veneto,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
17,COMPANY,Lendingtree Inc,HAS,ECON_INDICATOR,5.84 PERCENT PASSIVE STAKE,"Jan 24 (Reuters) - Lendingtree Inc:* BAILLIE GIFFORD & CO REPORTS 5.84 PERCENT PASSIVE STAKE IN LENDINGTREE INC AS OF DEC. 31, 2017 - SEC FILING Source text - ( bit.ly/2DAdz5U ) Further company coverage:  [/INST] \n",
17,COMPANY,Lendingtree Inc,PARTICIPES_IN,EVENT,SEC FILING,"Jan 24 (Reuters) - Lendingtree Inc:* BAILLIE GIFFORD & CO REPORTS 5.84 PERCENT PASSIVE STAKE IN LENDINGTREE INC AS OF DEC. 31, 2017 - SEC FILING Source text - ( bit.ly/2DAdz5U ) Further company coverage:  [/INST] \n",
17,COMPANY,BAILLIE GIFFORD & CO,HAS,ECON_INDICATOR,5.84 PERCENT PASSIVE STAKE,"Jan 24 (Reuters) - Lendingtree Inc:* BAILLIE GIFFORD & CO REPORTS 5.84 PERCENT PASSIVE STAKE IN LENDINGTREE INC AS OF DEC. 31, 2017 - SEC FILING Source text - ( bit.ly/2DAdz5U ) Further company coverage:  [/INST] \n",
17,COMPANY,Lendingtree Inc,IS_MEMBER_OF,REGULATIVE_BODY,SEC FILING Source text,"Jan 24 (Reuters) - Lendingtree Inc:* BAILLIE GIFFORD & CO REPORTS 5.84 PERCENT PASSIVE STAKE IN LENDINGTREE INC AS OF DEC. 31, 2017 - SEC FILING Source text - ( bit.ly/2DAdz5U ) Further company coverage:  [/INST] \n",
19,COMPANY,Delta Air Lines,ANNOUNCE,EVENT,Delta Air Lines tightening requirements for passengers traveling with onboard service and emotional support animals,"NEW YORK, Jan 19 (Reuters) - Delta Air Lines is tightening the requirements for passengers traveling with onboard service and emotional support animals, the carrier said on Friday, following a sharp uptick in animal-related safety issues over the last several years.Effective March 1, Delta, the second largest U.S. airline by passenger traffic, said it will require passengers seeking to fly with pets to present additional documents outlining passenger’s need for the animal and proof of the animal’s training and vaccinations, 48 hours prior to the scheduled flight.This comes in response to what the carrier said was a 150 percent increase in the number of service and support animals carried onboard since 2015.Alongside that increase has been an 84 percent spike in the number of reported animal incidents since 2016, including urination and/or defecation, biting, and a high-profile 2017 mauling of a passenger by a 70-pound emotional support dog.“The rise in serious incidents involving animals in flight leads us to believe that the lack of regulation in both health and training screening for these animals is creating unsafe conditions across U.S. air travel,” John Laughter - senior vice president of corporate safety, security and compliance - said in a statement.Under federal law, service animals are permitted to fly in-cabin with their owners, provided they do not pose a threat to the health and safety of others. (Reporting by Alana Wise; Editing by Michael Perry)  [/INST] \n",
19,COMPANY,Delta Air Lines,ANNOUNCE,EVENT,tightening requirements for passengers traveling with onboard service and emotional support animals,"NEW YORK, Jan 19 (Reuters) - Delta Air Lines is tightening the requirements for passengers traveling with onboard service and emotional support animals, the carrier said on Friday, following a sharp uptick in animal-related safety issues over the last several years.Effective March 1, Delta, the second largest U.S. airline by passenger traffic, said it will require passengers seeking to fly with pets to present additional documents outlining passenger’s need for the animal and proof of the animal’s training and vaccinations, 48 hours prior to the scheduled flight.This comes in response to what the carrier said was a 150 percent increase in the number of service and support animals carried onboard since 2015.Alongside that increase has been an 84 percent spike in the number of reported animal incidents since 2016, including urination and/or defecation, biting, and a high-profile 2017 mauling of a passenger by a 70-pound emotional support dog.“The rise in serious incidents involving animals in flight leads us to believe that the lack of regulation in both health and training screening for these animals is creating unsafe conditions across U.S. air travel,” John Laughter - senior vice president of corporate safety, security and compliance - said in a statement.Under federal law, service animals are permitted to fly in-cabin with their owners, provided they do not pose a threat to the health and safety of others. (Reporting by Alana Wise; Editing by Michael Perry)  [/INST] \n",
19,COMPANY,Delta Air Lines,ANNOUNCE,EVENT,Delta Air Lines will require passengers seeking to fly with pets to present additional documents,"NEW YORK, Jan 19 (Reuters) - Delta Air Lines is tightening the requirements for passengers traveling with onboard service and emotional support animals, the carrier said on Friday, following a sharp uptick in animal-related safety issues over the last several years.Effective March 1, Delta, the second largest U.S. airline by passenger traffic, said it will require passengers seeking to fly with pets to present additional documents outlining passenger’s need for the animal and proof of the animal’s training and vaccinations, 48 hours prior to the scheduled flight.This comes in response to what the carrier said was a 150 percent increase in the number of service and support animals carried onboard since 2015.Alongside that increase has been an 84 percent spike in the number of reported animal incidents since 2016, including urination and/or defecation, biting, and a high-profile 2017 mauling of a passenger by a 70-pound emotional support dog.“The rise in serious incidents involving animals in flight leads us to believe that the lack of regulation in both health and training screening for these animals is creating unsafe conditions across U.S. air travel,” John Laughter - senior vice president of corporate safety, security and compliance - said in a statement.Under federal law, service animals are permitted to fly in-cabin with their owners, provided they do not pose a threat to the health and safety of others. (Reporting by Alana Wise; Editing by Michael Perry)  [/INST] \n",
19,COMPANY,Delta,HAS,CONCEPT,U.S. airline by passenger traffic,"NEW YORK, Jan 19 (Reuters) - Delta Air Lines is tightening the requirements for passengers traveling with onboard service and emotional support animals, the carrier said on Friday, following a sharp uptick in animal-related safety issues over the last several years.Effective March 1, Delta, the second largest U.S. airline by passenger traffic, said it will require passengers seeking to fly with pets to present additional documents outlining passenger’s need for the animal and proof of the animal’s training and vaccinations, 48 hours prior to the scheduled flight.This comes in response to what the carrier said was a 150 percent increase in the number of service and support animals carried onboard since 2015.Alongside that increase has been an 84 percent spike in the number of reported animal incidents since 2016, including urination and/or defecation, biting, and a high-profile 2017 mauling of a passenger by a 70-pound emotional support dog.“The rise in serious incidents involving animals in flight leads us to believe that the lack of regulation in both health and training screening for these animals is creating unsafe conditions across U.S. air travel,” John Laughter - senior vice president of corporate safety, security and compliance - said in a statement.Under federal law, service animals are permitted to fly in-cabin with their owners, provided they do not pose a threat to the health and safety of others. (Reporting by Alana Wise; Editing by Michael Perry)  [/INST] \n",
20,Country,JP Morgan,UPGRADES,COMPANY,Kohl's,JP Morgan upgrades Kohl's to overweight 21 Hours Ago The “Fast Money Halftime Report” traders discuss Kohl's shares jumping on an overweight upgrade from JP Morgan for the call of the day. [/INST] \n,
20,COMPANY,JP Morgan,ANNounce,CONCEPT,overweight upgrade,JP Morgan upgrades Kohl's to overweight 21 Hours Ago The “Fast Money Halftime Report” traders discuss Kohl's shares jumping on an overweight upgrade from JP Morgan for the call of the day. [/INST] \n,
20,CONCEPT,Fast Money Halftime Report traders,PARTICIPES_IN,EVENT,Fast Money Halftime Report,JP Morgan upgrades Kohl's to overweight 21 Hours Ago The “Fast Money Halftime Report” traders discuss Kohl's shares jumping on an overweight upgrade from JP Morgan for the call of the day. [/INST] \n,
20,CONCEPT,Fast Money Halftime Report traders,OPERATE_IN,CONCEPT,Kohl's shares,JP Morgan upgrades Kohl's to overweight 21 Hours Ago The “Fast Money Halftime Report” traders discuss Kohl's shares jumping on an overweight upgrade from JP Morgan for the call of the day. [/INST] \n,
20,CONCEPT,Fast Money Halftime Report traders,PARTICIPES_IN,CONCEPT,Fast Money Halftime Report traders call,JP Morgan upgrades Kohl's to overweight 21 Hours Ago The “Fast Money Halftime Report” traders discuss Kohl's shares jumping on an overweight upgrade from JP Morgan for the call of the day. [/INST] \n,
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Record 2017 Gold Equivalent Ounces,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,PRODUCT,Gold Equivalent Ounces,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,PRODUCT,Gold,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Gold Earned in Q4,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Gold EQUIVALENT OUNCES,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Gold EQUIVALENT OUNCES Q4,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Gold EQUIVALENT OUNCES Q3,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Gold EQUIVALENT OUNCES Q3 2017,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Gold EQUIVALENT Ounces Q4,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Gold EQUIVALENT Ounces Q3 2017,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
21,COMPANY,Osisko Gold Royalties Ltd,ANNOUNCE,EVENT,Gold EQUIVALENT Ounces Q4 2017,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n",
22,COMPANY,First Merchants Corporation,ANNounce,EVENT,fourth quarter 2017 financial results,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST] \n",
22,COMPANY,First Merchants Corporation,ANNounce,EVENT,fourth quarter 2017 earnings conference call,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST] \n",
22,COMPANY,First Merchants Corporation,ANNounce,EVENT,web cast,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST] \n",
22,COMPANY,First Merchants Corporation,IS_MEMBER_OF,COMPANY,Nasdaq,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST] \n",
22,COMPANY,First Merchants Corporation,HAS,COMPANY,First Merchants Bank,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST] \n",
22,COMPANY,First Merchants Corporation,HAS,COMPANY,Lafayette Bank & Trust,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST] \n",
22,COMPANY,First Merchants Corporation,HAS,COMPANY,First Merchants Private Wealth Advisors,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST] \n",
